Date,S-1 FO,S-1 FR,R-33 FR,S-32 FR,Year
1980-12-29,0.2463500000000002,0.022825,0.022825,0.002075,1980
1981-01-05,0.2919323979591833,0.2079961734693875,0.201831632653061,0.0061645408163265,1981
1981-01-12,0.2712691326530616,0.1873941326530615,0.1784017857142859,0.0089923469387755,1981
1981-01-19,0.4261224489795926,0.9343125000000012,0.9063724489795936,0.0279400510204082,1981
1981-01-26,0.2377538265306125,0.6917181122448983,0.6700790816326531,0.0218622448979592,1981
1981-02-09,0.0016326530612244,6.688090561224494,6.686457908163269,0.0,1981
1981-02-16,0.0,3.226464285714286,3.226464285714286,0.0,1981
1981-02-23,0.0031938775510203,1.8677844387755107,1.8630918367346936,0.0015969387755101,1981
1981-03-02,0.0342857142857143,1.516937500000001,1.4971594387755107,0.0204821428571429,1981
1981-03-16,0.0277551020408163,21.7225280612245,21.663603316326544,0.057327806122449,1981
1981-03-23,0.0,2.1286415816326536,2.1286415816326536,0.0,1981
1981-03-30,0.0,0.9115140306122452,0.9115140306122452,0.0,1981
1981-04-06,0.0,0.4683303571428573,0.4208431122448982,0.0,1981
1981-04-13,0.0029974489795918,0.4718380102040817,0.4546785714285715,0.0014987244897959,1981
1981-04-20,0.0149872448979591,0.4838571428571435,0.4733660714285719,0.0089923469387755,1981
1981-05-11,0.0,4.476036989795921,4.476036989795921,0.0,1981
1981-05-18,0.0,2.2516875000000014,2.2516875000000014,0.0,1981
1981-05-25,0.0899234693877553,2.80827678571429,2.746829081632656,0.0614477040816327,1981
1981-06-01,0.0623839285714285,4.278639030612247,4.18033035714286,0.0743915816326531,1981
1981-06-08,0.1412538265306119,5.604410714285711,5.469899234693869,0.1313801020408162,1981
1981-06-15,0.048639030612245,2.117700255102041,2.070613520408166,0.0440803571428571,1981
1981-06-22,0.3849043367346941,7.954275510204094,7.674719387755112,0.278057397959184,1981
1981-08-03,0.127755102040816,15.690845663265309,15.54388392857143,0.1469617346938772,1981
1981-08-24,0.0,8.8211543367347,8.78355229591838,0.0,1981
1981-08-31,0.0547002551020408,3.655010204081635,3.596812500000002,0.0568239795918368,1981
1981-09-07,0.1249426020408166,8.341573979591834,8.179193877551013,0.1642359693877552,1981
1981-09-14,0.0317283163265306,1.6575255102040842,1.6205344387755127,0.0353941326530612,1981
1981-10-05,0.0,3.97678954081633,3.97678954081633,0.0,1981
1981-10-12,0.0,0.7736721938775515,0.7736721938775515,0.0,1981
1981-10-19,0.1258928571428573,3.3339859693877587,3.226077806122454,0.1079081632653061,1981
1981-10-26,0.0,4.144088010204085,4.10635204081633,0.0377359693877552,1981
1981-11-09,0.0,2.699210459183674,2.697577806122451,0.0016326530612244,1981
1981-11-16,0.0,0.582979591836735,0.582979591836735,0.0,1981
1981-11-23,0.0,0.2728303571428573,0.2728303571428573,0.0,1981
1981-11-30,0.0,0.1653099489795919,0.1653099489795919,0.0,1981
1981-12-07,0.2643290816326534,9.19150255102042,8.934817602040825,0.2566849489795922,1981
1981-12-14,0.0,5.457219387755107,5.402934948979604,0.0542844387755103,1981
1981-12-21,0.0419642857142857,1.246437500000001,1.2104681122448997,0.0359693877551021,1981
1981-12-28,0.0649426020408164,3.663900510204087,3.588297193877555,0.0761747448979592,1981
1982-01-11,0.0170114795918367,4.780329081632654,4.764021683673472,0.0156377551020408,1982
1982-01-18,0.0473469387755102,3.4141862244898,3.3613125000000044,0.0519464285714286,1982
1982-01-25,0.2267653061224486,12.373580357142853,12.11024744897958,0.261834183673469,1982
1982-02-08,0.1736785714285716,67.8372040816327,67.551043367347,0.2829311224489798,1982
1982-03-15,0.0,8.943339285714288,8.934248724489798,0.0090905612244898,1982
1982-04-05,0.0,8.022618622448986,7.936655612244901,0.0081632653061224,1982
1982-04-12,0.1456147959183674,10.0169974489796,9.833080357142869,0.1723431122448981,1982
1982-04-26,0.3365714285714288,24.95086096938778,24.488081632653067,0.4659107142857148,1982
1982-05-03,0.0013737244897959,8.414551020408172,8.359954081632655,0.0540255102040817,1982
1982-05-10,0.0894693877551021,4.348654336734695,4.257936224489797,0.090593112244898,1982
1982-05-17,0.0533915816326531,4.896679846938782,4.8188826530612285,0.0783686224489796,1982
1982-05-31,0.1611594387755105,14.066017857142878,13.839910714285736,0.2261071428571431,1982
1982-06-07,0.4431198979591834,25.437477040816315,24.89607525510204,0.5429005102040813,1982
1982-06-21,0.4501160714285711,25.70344260204083,25.154683673469385,0.5487589285714287,1982
1982-06-28,0.2537640306122449,15.18710076530613,14.88450637755103,0.3009974489795919,1982
1982-07-05,0.4655280612244895,27.896283163265306,27.318156887755084,0.5795357142857139,1982
1982-07-12,0.4666173469387759,23.404167091836744,22.876178571428586,0.5248928571428575,1982
1982-08-02,0.3031505102040819,56.35850637755107,55.84344260204084,0.5149298469387761,1982
1982-08-30,0.0,19.517135204081647,19.517135204081647,0.0,1982
1982-09-06,0.0462257653061224,6.912149234693876,6.854494897959183,0.0576543367346937,1982
1982-09-13,0.0063877551020407,3.036410714285714,3.027016581632654,0.0077614795918367,1982
1982-09-20,0.007984693877551,1.7574094387755108,1.749647959183674,0.0077614795918367,1982
1982-09-27,0.0018545918367347,0.889774234693878,0.8865459183673472,0.0032283163265306,1982
1982-10-11,0.2890038265306126,27.07262244897962,26.645672193877584,0.4253176020408166,1982
1982-10-18,0.0,11.342878826530628,11.249225765306136,0.0936530612244899,1982
1982-10-25,0.0,0.959170918367347,0.959170918367347,0.0,1982
1982-11-01,0.0,0.4576313775510203,0.4576313775510203,0.0,1982
